iteration,date,direction,entry_price,exit_price,stop_loss,position_size,pnl,duration_hours,balance,signal,exit_reason,is_partial,entry_rsi_14,exit_rsi_14,entry_macd_histogram,exit_macd_histogram,ensemble_score,market_phase,trend_strength
20,2024-08-28 02:00:00,short,59350.78,59198.93,63164.63,0.08914,8.25,2.0,6703.2,StrongSell,QuickProfitTaken,False,23.81,21.61,-245.567233,-115.156312,1.0,downtrend,0.24
21,2024-08-28 09:30:00,long,59192.85,60131.95,57536.88,0.089451,78.66,2.5,6781.87,StrongBuy,QuickProfitTaken,False,46.54,64.41,70.518371,167.384997,1.0,downtrend,0.45
21,2024-08-29 05:30:00,long,59198.66,59380.04,54435.67,0.033114,4.04,6.5,6785.91,StrongBuy,QuickProfitTaken,False,58.38,61.25,32.524259,52.375601,1.0,ranging_at_resistance,0.54
20,2024-08-29 08:30:00,short,58933.38,59543.47,60837.92,0.0899,-60.17,7.0,6725.74,StrongSell,MaxDurationReached_neutral,False,39.76,82.48,18.127908,48.640479,1.0,ranging_at_support,0.45
21,2024-08-29 09:00:00,long,59544.1,59692.82,58645.53,0.090201,8.04,1.5,6733.77,StrongBuy,QuickProfitTaken,False,70.44,83.65,65.065517,54.805112,1.0,neutral,0.55
21,2024-08-29 12:00:00,long,59951.16,60181.82,59002.18,0.010765,1.84,0.5,6735.61,StrongBuy,PartialExit_12pct,True,78.84,79.14,61.055426,74.067438,1.0,neutral,0.62
21,2024-08-29 13:00:00,long,59951.16,60213.54,59002.18,0.078947,15.97,1.5,6751.57,StrongBuy,QuickProfitTaken,False,78.84,75.27,61.055426,78.730306,1.0,neutral,0.62
21,2024-08-29 15:00:00,long,60637.09,60971.2,59639.4,0.010676,2.92,0.5,6754.49,StrongBuy,PartialExit_12pct,True,81.31,87.13,103.358865,113.080715,1.0,uptrend,0.65
21,2024-08-29 18:00:00,long,60637.09,59906.34,59639.4,0.078291,-61.93,3.5,6692.56,StrongBuy,StopLoss,False,81.31,44.55,103.358865,-82.32898,1.0,uptrend,0.65
21,2024-08-30 13:30:00,long,59442.21,59607.83,58379.79,0.089842,9.53,4.5,6702.09,StrongBuy,QuickProfitTaken,False,58.87,61.45,81.824069,39.513307,1.0,ranging_at_support,0.56
21,2024-08-31 00:00:00,long,59049.9,59308.87,55338.3,0.03979,7.95,2.5,6710.04,StrongBuy,QuickProfitTaken,False,60.98,67.49,53.334,66.903756,1.0,ranging_at_resistance,0.55
20,2024-08-31 09:00:00,short,59041.28,58933.06,59419.34,0.01332,0.65,1.0,6710.69,StrongSell,PartialExit_15pct,True,36.04,33.11,-22.651747,-36.747598,1.0,ranging_at_support,0.47
21,2024-08-31 09:00:00,long,59275.12,58886.76,58363.21,0.090366,-40.44,7.0,6670.26,StrongBuy,MaxDurationReached_neutral,False,56.03,33.11,37.022807,-36.747598,1.0,ranging_at_resistance,0.53
20,2024-08-31 09:30:00,short,59041.28,58900.8,59419.34,0.075478,6.15,1.5,6676.41,StrongSell,QuickProfitTaken,False,36.04,29.24,-22.651747,-40.563089,1.0,ranging_at_support,0.47
20,2024-08-31 13:30:00,short,59073.56,58949.67,59501.44,0.013328,0.86,1.5,6677.27,StrongSell,PartialExit_15pct,True,41.21,37.6,-1.172923,-2.989175,1.0,ranging_at_support,0.53
20,2024-08-31 17:00:00,short,59073.56,58934.72,59501.44,0.075528,6.03,5.0,6683.3,StrongSell,QuickProfitTaken,False,41.21,44.66,-1.172923,-14.410541,1.0,ranging_at_support,0.53
20,2024-09-01 02:00:00,short,58908.35,58309.98,59320.59,0.089213,48.15,1.5,6731.45,StrongSell,QuickProfitTaken,False,44.37,21.79,3.677965,-42.263568,1.0,ranging_at_resistance,0.49
21,2024-09-01 02:00:00,long,58947.25,58420.14,58449.6,0.090238,-52.86,1.5,6678.59,StrongBuy,StopLoss,False,44.37,21.79,3.677965,-42.263568,1.0,ranging_at_resistance,0.49
20,2024-09-01 05:00:00,short,58498.75,58022.4,58981.52,0.013589,5.68,0.5,6684.27,StrongSell,PartialExit_15pct,True,26.8,20.7,-41.763825,-66.13515,1.0,downtrend,0.75
20,2024-09-01 05:30:00,short,58498.75,57971.55,58981.52,0.077006,36.11,1.0,6720.38,StrongSell,OversoldExit,False,26.8,20.21,-41.763825,-79.998485,1.0,downtrend,0.75
20,2024-09-01 10:00:00,short,58138.88,57987.24,58812.36,0.091817,8.59,3.0,6728.97,StrongSell,QuickProfitTaken,False,28.75,32.6,-50.516949,-5.225795,1.0,downtrend,0.53
21,2024-09-01 23:30:00,long,58528.0,57245.63,56582.71,0.067232,-90.11,4.5,6638.86,StrongBuy,MaxDurationReached_neutral,False,56.14,36.15,78.303414,-108.893913,1.0,ranging_at_resistance,0.63
21,2024-09-02 11:00:00,long,58391.1,58608.45,56602.61,0.010661,1.69,1.0,6640.55,StrongBuy,PartialExit_12pct,True,69.47,71.35,115.035553,125.246335,1.0,neutral,0.69
21,2024-09-02 14:30:00,long,58391.1,58557.53,56602.61,0.078184,8.44,4.5,6648.99,StrongBuy,QuickProfitTaken,False,69.47,71.86,115.035553,28.738153,1.0,neutral,0.69
22,2024-09-03 06:30:00,short,59063.14,58892.68,60007.37,0.086518,9.64,2.5,6658.63,StrongSell,QuickProfitTaken,False,45.81,41.7,-35.756954,-68.403388,1.0,neutral,0.75
22,2024-09-03 13:30:00,short,58818.6,58392.12,59451.13,0.087029,32.01,3.5,6690.65,StrongSell,QuickProfitTaken,False,51.65,37.53,-40.967405,-47.625813,1.0,neutral,0.3
22,2024-09-03 22:00:00,short,57732.45,57953.25,58827.51,0.089176,-24.85,6.5,6665.79,StrongSell,MaxDurationReached_neutral,False,27.53,54.68,-167.104005,35.953802,1.0,downtrend,0.3
21,2024-09-04 14:30:00,long,56620.82,57453.61,55390.31,0.091787,71.2,4.0,6737.0,StrongBuy,QuickProfitTaken,False,45.18,69.42,57.288414,102.263439,1.0,ranging_at_support,0.75
